timestamp_eastern,open,high,low,close,volume,cd,cdv,vwap
"May 06, 2025 08:05:30 PM",5671.5,5673.0,5666.0,5667.0,1972,2409476652932,1885490643068,5669.744421906694
"May 06, 2025 08:13:19 PM",5667.25,5668.0,5661.75,5661.75,2030,2392296783588,1902670512412,5664.533620689655
"May 06, 2025 08:18:28 PM",5661.75,5665.5,5658.75,5663.25,1985,2284922601449,2010044694551,5662.143450881612
"May 06, 2025 08:24:41 PM",5663.0,5670.75,5662.75,5670.75,2279,1799591297583,2495375998417,5666.8513602457215
"May 06, 2025 08:30:00 PM",5670.75,5675.25,5669.25,5675.25,2276,1928440316382,2366526979618,5672.243409490334
"May 06, 2025 08:32:28 PM",5675.25,5681.5,5675.0,5677.25,2252,1872605741398,2422361554602,5678.745337477798
"May 06, 2025 08:42:34 PM",5677.5,5679.0,5675.5,5678.5,2266,2194728288084,2100239007916,5677.550970873786
"May 06, 2025 08:53:58 PM",5678.75,5681.0,5676.75,5677.75,2593,2199023255533,2095944040467,5678.456710374084
"May 06, 2025 09:01:51 PM",5677.5,5678.75,5673.5,5677.25,2312,2164663517192,2130303778808,5675.999891868512
"May 06, 2025 09:10:57 PM",5677.25,5680.75,5674.25,5677.0,2212,2070174236774,2224793059226,5677.752825497288
"May 06, 2025 09:19:48 PM",5677.0,5677.75,5670.25,5671.0,2122,2448131358334,1846835937666,5673.346960414703
"May 06, 2025 09:30:00 PM",5671.0,5673.0,5668.75,5671.25,2572,2065879269298,2229088026702,5671.0391718507
"May 06, 2025 09:38:25 PM",5671.0,5671.25,5665.75,5667.75,2063,2177548418847,2117418877153,5667.60603490063
"May 06, 2025 09:49:43 PM",5667.75,5669.75,5665.25,5669.0,2181,2246267895805,2048699400195,5667.688216414489
"May 06, 2025 10:01:29 PM",5669.0,5670.5,5665.5,5665.75,2124,2113123909468,2181843386532,5668.211982109228
"May 06, 2025 10:09:18 PM",5665.75,5666.75,5661.75,5662.0,2165,2379411881631,1915555414369,5663.835103926097
"May 06, 2025 10:21:48 PM",5662.0,5662.75,5660.25,5661.5,2261,2108828942279,2186138353721,5661.748562582928
"May 06, 2025 10:26:08 PM",5661.25,5662.25,5653.25,5654.25,2202,2546915605832,1748051690168,5656.8979336966395
"May 06, 2025 10:33:55 PM",5654.25,5658.75,5652.75,5658.5,2238,2014339661852,2280627634148,5656.230563002681
"May 06, 2025 10:44:43 PM",5658.5,5661.0,5655.0,5655.25,2075,2134598746239,2160368549761,5658.286265060241
"May 06, 2025 10:55:00 PM",5655.25,5656.5,5652.5,5654.5,2268,2297807503234,1997159792766,5654.675485008818
"May 06, 2025 11:09:04 PM",5654.5,5661.25,5654.0,5658.25,2182,1979979923440,2314987372560,5658.461503208066
"May 06, 2025 11:21:54 PM",5658.5,5663.5,5657.5,5658.0,2069,2164663517167,2130303778833,5660.761478975351
"May 06, 2025 11:38:34 PM",5658.0,5663.0,5656.75,5662.75,2166,2057289334902,2237677961098,5659.634926131117
"May 06, 2025 11:59:43 PM",5662.75,5663.25,5658.0,5659.25,2172,2117418877014,2177548418986,5660.028084714549
"May 07, 2025 12:16:22 AM",5659.25,5665.5,5658.25,5664.75,2408,1752346657392,2542620638608,5662.557516611296
"May 07, 2025 12:38:22 AM",5664.75,5666.0,5659.25,5659.25,2076,2452426325836,1842540970164,5663.139450867052
"May 07, 2025 01:02:53 AM",5659.25,5661.5,5656.75,5658.0,2150,2211908157314,2083059138686,5659.602558139535
"May 07, 2025 01:25:30 AM",5658.0,5659.5,5655.0,5657.25,2251,2126008811665,2168958484335,5657.555197689916
"May 07, 2025 01:39:07 AM",5657.25,5660.0,5653.5,5653.75,2471,2104533974965,2190433321035,5656.854815864022
"May 07, 2025 01:53:35 AM",5653.75,5655.0,5651.0,5652.5,2398,2319282339766,1975684956234,5652.79263969975
"May 07, 2025 02:08:45 AM",5652.75,5656.75,5650.25,5656.0,2196,2048699400194,2246267895806,5653.613729508197
"May 07, 2025 02:23:29 AM",5656.0,5657.5,5649.25,5649.5,2062,2443836391000,1851130905000,5653.159311348206
"May 07, 2025 02:33:06 AM",5649.25,5650.5,5646.0,5647.25,2205,2362232012427,1932735283573,5647.641836734694
"May 07, 2025 02:50:24 AM",5647.25,5652.0,5646.5,5651.5,1961,1984274890959,2310692405041,5649.256246812851
"May 07, 2025 03:01:15 AM",5652.0,5653.0,5650.0,5651.25,2103,2521145802575,1773821493425,5651.74179743224
"May 07, 2025 03:13:00 AM",5651.75,5654.5,5649.75,5649.75,1901,2061584302169,2233382993831,5652.973040504998
"May 07, 2025 03:22:22 AM",5649.75,5658.5,5649.75,5657.25,2228,1838246003248,2456721292752,5654.760884201077
"May 07, 2025 03:39:25 AM",5657.0,5659.5,5655.5,5656.0,2285,2061584302179,2233382993821,5657.4828227571115
"May 07, 2025 03:54:28 AM",5656.0,5660.5,5654.5,5658.5,2218,1872605741176,2422361554824,5657.264427412083
"May 07, 2025 04:02:40 AM",5658.5,5662.5,5657.5,5662.25,2388,1919850381526,2375116914474,5659.853433835846
"May 07, 2025 04:12:02 AM",5662.5,5662.5,5651.5,5652.25,2216,2572685409892,1722281886108,5656.949458483755
"May 07, 2025 04:26:40 AM",5652.25,5656.0,5651.75,5654.75,2307,1967095021623,2327872274377,5653.806566970091
"May 07, 2025 04:43:13 AM",5654.75,5661.0,5654.75,5659.5,2215,1894080577805,2400886718195,5658.60914221219
"May 07, 2025 04:58:26 AM",5659.25,5660.75,5654.5,5660.25,2236,2070174236792,2224793059208,5657.903622540251
"May 07, 2025 05:16:12 AM",5660.0,5662.5,5655.75,5659.0,2290,2181843386194,2113123909806,5659.683406113537
"May 07, 2025 05:34:41 AM",5659.0,5661.5,5653.0,5653.25,2086,2272037699428,2022929596572,5656.497962607862
"May 07, 2025 05:54:30 AM",5653.25,5661.0,5652.25,5659.25,2144,1902670512442,2392296783558,5658.027285447762
"May 07, 2025 06:03:26 AM",5658.5,5660.0,5651.25,5652.75,2134,2379411881676,1915555414324,5655.564667291472
"May 07, 2025 06:18:36 AM",5652.5,5660.0,5652.0,5657.25,2058,2095944040624,2199023255376,5656.380952380952
"May 07, 2025 06:42:51 AM",5657.25,5659.5,5654.5,5659.25,1997,1941325217925,2353642078075,5656.935528292439
"May 07, 2025 06:53:02 AM",5659.25,5663.75,5658.5,5659.75,2313,1988569858379,2306397437621,5661.213899697363
"May 07, 2025 07:03:22 AM",5660.0,5663.25,5658.5,5662.75,2249,2130303778809,2164663517191,5660.622054246332
"May 07, 2025 07:16:15 AM",5662.5,5666.0,5661.75,5664.5,2034,1803886264540,2491081031460,5663.913962635202
"May 07, 2025 07:27:57 AM",5664.5,5667.25,5661.0,5662.25,2400,2057289334834,2237677961166,5664.410625
"May 07, 2025 07:41:30 AM",5662.5,5663.0,5657.5,5658.0,2276,2388001816168,1906965479832,5660.631920035149
